the beatles	30499140	49800	19584	7574 4144 1087 7892 19175 15953 5052	296 2935 36368 2274 191 1348 26181 6734
radiohead	27452124	51306	18820	6519 940 453 364 19576 23950 9561	413 2747 40709 2528 199 2119 23047 5576
coldplay	16701858	42171	19293	1499 7735 4778 15924 10645 9860 2809	389 2733 39810 1874 162 1665 14902 5190
pink floyd	15965959	33658	7210	804 2763 13045 8846 4182 4090 2105	258 1225 25276 1171 102 1837 10777 3854
metallica	15498759	36043	6170	6507 13485 7787 2893 3099 295 3858	244 1088 30915 1064 87 1827 6600 3466
muse	15463089	29632	14022	11270 9135 8473 6238 1022 963 2040	272 1273 30905 1677 92 1247 8788 2758
nine inch nails	14090643	20354	6095	13308 3325 2278 3460 761 168 135	164 666 15552 1172 65 314 9645 1404
red hot chili peppers	13562637	35002	10329	5708 11416 3285 13148 4666 881 1202	279 1411 31233 1457 123 1053 10000 3423
linkin park	12848290	27835	9420	8567 14981 4256 4297 315 155 1057	261 1692 26603 1141 95 712 7077 2243
system of a down	11927204	27598	7224	11205 15379 2712 1003 319 46 928	219 610 27194 873 80 642 5395 2302
in flames	11295957	15948	2656	1177 3183 3503 1543 2298 1793 3393	118 351 15624 395 19 610 2067 619
death cab for cutie	10587605	18031	10942	15033 3715 736 479 2828 1720 1203	152 1043 12673 1107 61 347 14556 1572
placebo	9848924	18141	11570	13686 4253 2039 207 76 3961 2518	173 515 23735 906 78 1164 3215 2318
nightwish	9765770	17081	5631	7629 4818 780 163 587 3037 3390	123 477 18641 404 36 600 2413 1558
the killers	9607866	25910	12193	5747 13069 2362 2569 1305 2025 6435	221 944 25995 1263 104 456 8947 3346
iron maiden	9509435	20468	2924	9853 610 2619 743 2411 2545 2195	103 593 16865 517 40 1022 3506 2501
bob dylan	9454759	21828	6707	789 9062 6103 2382 3866 1698 596	174 875 17017 957 54 699 10074 1987
nirvana	9284068	27364	8918	3660 9729 5586 3740 701 1959 6969	223 1259 24477 1080 100 937 8339 3110
depeche mode	9243291	21073	8010	3055 3338 8226 3045 1888 3362 2212	162 450 21981 401 60 872 5854 2185
rammstein	8809758	20658	4623	9713 2990 1739 2446 1448 3752 712	153 369 20995 532 43 645 2947 1512
the cure	8581448	19621	9886	1652 6339 7031 4917 1879 2620 1349	141 735 19262 1067 87 571 8016 2789
led zeppelin	8506147	24193	5507	2176 7673 6450 3065 1692 4205 696	168 998 16827 918 79 939 9589 2823
arctic monkeys	8398754	19452	8735	11570 4800 668 230 56 3178 4604	119 868 20597 831 62 501 4158 3247
u2	8119087	23773	6472	9124 5050 1166 2052 1186 901 5919	166 1328 20021 990 65 470 7425 2774
queen	8065198	23873	7451	578 3911 11448 2157 2002 3728 3607	150 980 21756 813 53 949 6666 2845
blink-182	7811778	15685	6043	3488 4601 1235 1222 749 2783 5750	112 457 13045 945 46 170 6644 1832
tool	7767323	15707	3495	6071 4257 1747 2082 1169 629 1316	137 341 12347 938 60 693 5346 906
david bowie	7687459	20609	7769	3895 7314 4311 2350 2123 3291 1193	119 688 17898 1178 61 482 9297 2179
madonna	7640275	16045	7367	2983 8320 1303 1855 2298 1306 2185	116 984 15149 559 71 749 4851 3015
green day	7619340	19678	6928	6924 7393 1266 592 288 2868 4479	153 1115 17253 851 53 380 6916 2040
foo fighters	7532910	21858	6078	9341 4698 3156 1359 867 3453 1839	152 637 19002 1111 61 297 6038 2876
britney spears	7475948	10116	9227	3466 3672 454 715 1133 2042 5846	103 858 11357 583 67 432 4895 2545
the smashing pumpkins	7181760	17438	5660	12418 2528 1563 2161 882 578 412	147 728 12691 1072 68 244 8241 2176
daft punk	6840194	24555	5567	14166 2381 3272 754 1391 2342 2485	126 981 18812 1287 75 551 9075 2125
tom waits	6809613	13732	3949	1083 592 1970 1520 1206 3100 5800	109 412 11712 658 43 583 5839 649
jack johnson	6762074	15805	6861	7238 2667 1956 4073 1457 685 1311	182 1091 12857 775 54 279 7358 2335
bloc party	6731272	17626	7073	8482 6121 903 651 1323 2840 1583	135 690 17401 1213 54 256 5830 1255
elliott smith	6706192	10425	5757	1830 2945 1438 364 93 87 7577	83 537 6859 706 31 343 8627 847
fall out boy	6695083	11123	7955	4 2045 2072 1147 2824 3954 5392	104 679 11091 809 49 137 6221 1248
modest mouse	6693823	13132	5751	5689 4921 921 1606 990 1708 986	120 331 6914 815 36 165 11849 564
sufjan stevens	6686397	11884	6198	7801 3496 2235 1134 188 162 963	93 453 8022 785 37 220 9992 505
johnny cash	6552180	19112	4821	4980 6425 2291 1468 1682 1539 2188	109 276 16964 639 36 367 6855 1429
